2026-02-02 20:35:14.247 - INFO - ====================================================================================================
2026-02-02 20:35:14.248 - INFO -  Kmer丰度转VCF工具|Kmer Abundance to VCF Converter
2026-02-02 20:35:14.249 - INFO - ====================================================================================================
2026-02-02 20:35:14.249 - INFO - 输入文件|Input file: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/01.kmer_db/kmer_matrix_with_header.txt
2026-02-02 20:35:14.249 - INFO - 输出VCF|Output VCF: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf_快速模式/kmer.vcf.gz
2026-02-02 20:35:14.249 - INFO - 样本数|Number of samples: 181
2026-02-02 20:35:14.249 - INFO - 运行模式|Running mode: 快速模式（单次遍历）|Fast mode (single pass)
2026-02-02 20:35:14.249 - INFO - 染色体长度|Chromosome length: 1,000
2026-02-02 20:35:14.249 - INFO - 
2026-02-02 20:35:14.254 - INFO - ====================================================================================================
2026-02-02 20:35:14.254 - INFO -  快速模式转换（单次遍历）|Fast Mode Conversion (Single Pass)
2026-02-02 20:35:14.254 - INFO - ====================================================================================================
2026-02-02 20:35:14.254 - INFO - 输入文件|Input file: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/01.kmer_db/kmer_matrix_with_header.txt
2026-02-02 20:35:14.254 - INFO - 输出VCF|Output VCF: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf_快速模式/kmer.vcf.gz
2026-02-02 20:35:14.254 - INFO - 染色体长度|Chromosome length: 1,000
2026-02-02 20:35:14.254 - INFO - 
2026-02-02 20:35:14.256 - INFO - 样本数量|Number of samples: 181
2026-02-02 20:35:14.256 - INFO - 预估kmer总数|Estimated total kmers: 17,341,634,442
2026-02-02 20:35:14.256 - INFO - 染色体数量|Number of chromosomes: 17341635
2026-02-02 20:35:14.256 - INFO - 
2026-02-02 20:35:17.432 - INFO - 开始转换数据行|Starting data line conversion...
2026-02-02 20:35:33.235 - INFO - 已处理|Processed: 1,000,000 kmers, 输出|output: 999,999
2026-02-02 20:47:56.701 - INFO - 已处理|Processed: 48,000,000 kmers, 输出|output: 47,999,999
2026-02-02 20:48:12.503 - INFO - 已处理|Processed: 49,000,000 kmers, 输出|output: 48,999,999
2026-02-02 20:48:28.298 - INFO - 已处理|Processed: 50,000,000 kmers, 输出|output: 49,999,999
2026-02-02 20:48:44.131 - INFO - 已处理|Processed: 51,000,000 kmers, 输出|output: 50,999,999
2026-02-02 20:48:59.970 - INFO - 已处理|Processed: 52,000,000 kmers, 输出|output: 51,999,999
2026-02-02 20:49:15.827 - INFO - 已处理|Processed: 53,000,000 kmers, 输出|output: 52,999,999
2026-02-02 20:49:31.681 - INFO - 已处理|Processed: 54,000,000 kmers, 输出|output: 53,999,999
2026-02-02 20:49:47.545 - INFO - 已处理|Processed: 55,000,000 kmers, 输出|output: 54,999,999
2026-02-02 20:50:03.424 - INFO - 已处理|Processed: 56,000,000 kmers, 输出|output: 55,999,999
2026-02-02 20:50:19.286 - INFO - 已处理|Processed: 57,000,000 kmers, 输出|output: 56,999,999
2026-02-02 20:50:35.132 - INFO - 已处理|Processed: 58,000,000 kmers, 输出|output: 57,999,999
2026-02-02 20:50:51.004 - INFO - 已处理|Processed: 59,000,000 kmers, 输出|output: 58,999,999
2026-02-02 20:51:06.886 - INFO - 已处理|Processed: 60,000,000 kmers, 输出|output: 59,999,999
2026-02-02 20:51:22.765 - INFO - 已处理|Processed: 61,000,000 kmers, 输出|output: 60,999,999
2026-02-02 20:51:38.642 - INFO - 已处理|Processed: 62,000,000 kmers, 输出|output: 61,999,999
2026-02-02 20:51:54.420 - INFO - 已处理|Processed: 63,000,000 kmers, 输出|output: 62,999,999
2026-02-02 20:52:10.129 - INFO - 已处理|Processed: 64,000,000 kmers, 输出|output: 63,999,999
2026-02-02 20:52:25.790 - INFO - 已处理|Processed: 65,000,000 kmers, 输出|output: 64,999,999
2026-02-02 20:52:41.473 - INFO - 已处理|Processed: 66,000,000 kmers, 输出|output: 65,999,999
2026-02-02 20:52:57.168 - INFO - 已处理|Processed: 67,000,000 kmers, 输出|output: 66,999,999
2026-02-02 20:53:12.850 - INFO - 已处理|Processed: 68,000,000 kmers, 输出|output: 67,999,999
2026-02-02 20:53:28.566 - INFO - 已处理|Processed: 69,000,000 kmers, 输出|output: 68,999,999
2026-02-02 20:53:44.235 - INFO - 已处理|Processed: 70,000,000 kmers, 输出|output: 69,999,999
2026-02-02 20:53:59.921 - INFO - 已处理|Processed: 71,000,000 kmers, 输出|output: 70,999,999
2026-02-02 20:54:15.597 - INFO - 已处理|Processed: 72,000,000 kmers, 输出|output: 71,999,999
2026-02-02 20:54:31.294 - INFO - 已处理|Processed: 73,000,000 kmers, 输出|output: 72,999,999
2026-02-02 20:54:46.993 - INFO - 已处理|Processed: 74,000,000 kmers, 输出|output: 73,999,999
2026-02-02 20:55:02.688 - INFO - 已处理|Processed: 75,000,000 kmers, 输出|output: 74,999,999
2026-02-02 20:55:18.440 - INFO - 已处理|Processed: 76,000,000 kmers, 输出|output: 75,999,999
2026-02-02 20:55:34.197 - INFO - 已处理|Processed: 77,000,000 kmers, 输出|output: 76,999,999
2026-02-02 20:55:49.945 - INFO - 已处理|Processed: 78,000,000 kmers, 输出|output: 77,999,999
2026-02-02 20:56:05.639 - INFO - 已处理|Processed: 79,000,000 kmers, 输出|output: 78,999,999
2026-02-02 20:56:21.338 - INFO - 已处理|Processed: 80,000,000 kmers, 输出|output: 79,999,999
2026-02-02 20:56:37.043 - INFO - 已处理|Processed: 81,000,000 kmers, 输出|output: 80,999,999
2026-02-02 20:56:52.826 - INFO - 已处理|Processed: 82,000,000 kmers, 输出|output: 81,999,999
2026-02-02 20:57:08.576 - INFO - 已处理|Processed: 83,000,000 kmers, 输出|output: 82,999,999
2026-02-02 20:57:24.387 - INFO - 已处理|Processed: 84,000,000 kmers, 输出|output: 83,999,999
2026-02-02 20:57:40.170 - INFO - 已处理|Processed: 85,000,000 kmers, 输出|output: 84,999,999
2026-02-02 20:57:55.967 - INFO - 已处理|Processed: 86,000,000 kmers, 输出|output: 85,999,999
2026-02-02 20:58:11.737 - INFO - 已处理|Processed: 87,000,000 kmers, 输出|output: 86,999,999
2026-02-02 20:58:27.514 - INFO - 已处理|Processed: 88,000,000 kmers, 输出|output: 87,999,999
2026-02-02 20:58:43.247 - INFO - 已处理|Processed: 89,000,000 kmers, 输出|output: 88,999,999
2026-02-02 20:58:59.013 - INFO - 已处理|Processed: 90,000,000 kmers, 输出|output: 89,999,999
2026-02-02 20:59:14.784 - INFO - 已处理|Processed: 91,000,000 kmers, 输出|output: 90,999,999
2026-02-02 20:59:30.533 - INFO - 已处理|Processed: 92,000,000 kmers, 输出|output: 91,999,999
2026-02-02 20:59:46.289 - INFO - 已处理|Processed: 93,000,000 kmers, 输出|output: 92,999,999
2026-02-02 21:00:02.093 - INFO - 已处理|Processed: 94,000,000 kmers, 输出|output: 93,999,999
2026-02-02 21:00:17.839 - INFO - 已处理|Processed: 95,000,000 kmers, 输出|output: 94,999,999
2026-02-02 21:00:33.599 - INFO - 已处理|Processed: 96,000,000 kmers, 输出|output: 95,999,999
2026-02-02 21:00:49.386 - INFO - 已处理|Processed: 97,000,000 kmers, 输出|output: 96,999,999
2026-02-02 21:01:05.116 - INFO - 已处理|Processed: 98,000,000 kmers, 输出|output: 97,999,999
2026-02-02 21:01:20.881 - INFO - 已处理|Processed: 99,000,000 kmers, 输出|output: 98,999,999
2026-02-02 21:01:36.582 - INFO - 已处理|Processed: 100,000,000 kmers, 输出|output: 99,999,999
2026-02-02 21:01:52.269 - INFO - 已处理|Processed: 101,000,000 kmers, 输出|output: 100,999,999
2026-02-02 21:02:07.992 - INFO - 已处理|Processed: 102,000,000 kmers, 输出|output: 101,999,999
2026-02-02 21:02:23.708 - INFO - 已处理|Processed: 103,000,000 kmers, 输出|output: 102,999,999
2026-02-02 21:02:39.467 - INFO - 已处理|Processed: 104,000,000 kmers, 输出|output: 103,999,999
2026-02-02 21:02:55.217 - INFO - 已处理|Processed: 105,000,000 kmers, 输出|output: 104,999,999
2026-02-02 21:03:10.961 - INFO - 已处理|Processed: 106,000,000 kmers, 输出|output: 105,999,999
2026-02-02 21:03:26.706 - INFO - 已处理|Processed: 107,000,000 kmers, 输出|output: 106,999,999
2026-02-02 21:03:42.422 - INFO - 已处理|Processed: 108,000,000 kmers, 输出|output: 107,999,999
2026-02-02 21:03:58.129 - INFO - 已处理|Processed: 109,000,000 kmers, 输出|output: 108,999,999
2026-02-02 21:04:13.856 - INFO - 已处理|Processed: 110,000,000 kmers, 输出|output: 109,999,999
2026-02-02 21:04:29.555 - INFO - 已处理|Processed: 111,000,000 kmers, 输出|output: 110,999,999
2026-02-02 21:04:45.282 - INFO - 已处理|Processed: 112,000,000 kmers, 输出|output: 111,999,999
2026-02-02 21:05:01.007 - INFO - 已处理|Processed: 113,000,000 kmers, 输出|output: 112,999,999
2026-02-02 21:05:16.765 - INFO - 已处理|Processed: 114,000,000 kmers, 输出|output: 113,999,999
2026-02-02 21:05:32.578 - INFO - 已处理|Processed: 115,000,000 kmers, 输出|output: 114,999,999
2026-02-02 21:05:48.341 - INFO - 已处理|Processed: 116,000,000 kmers, 输出|output: 115,999,999
2026-02-02 21:06:04.114 - INFO - 已处理|Processed: 117,000,000 kmers, 输出|output: 116,999,999
2026-02-02 21:06:19.861 - INFO - 已处理|Processed: 118,000,000 kmers, 输出|output: 117,999,999
2026-02-02 21:06:35.638 - INFO - 已处理|Processed: 119,000,000 kmers, 输出|output: 118,999,999
2026-02-02 21:06:51.405 - INFO - 已处理|Processed: 120,000,000 kmers, 输出|output: 119,999,999
2026-02-02 21:07:07.237 - INFO - 已处理|Processed: 121,000,000 kmers, 输出|output: 120,999,999
2026-02-02 21:07:23.034 - INFO - 已处理|Processed: 122,000,000 kmers, 输出|output: 121,999,999
2026-02-02 21:07:38.834 - INFO - 已处理|Processed: 123,000,000 kmers, 输出|output: 122,999,999
2026-02-02 21:07:54.619 - INFO - 已处理|Processed: 124,000,000 kmers, 输出|output: 123,999,999
2026-02-02 21:08:10.314 - INFO - 已处理|Processed: 125,000,000 kmers, 输出|output: 124,999,999
2026-02-02 21:08:26.024 - INFO - 已处理|Processed: 126,000,000 kmers, 输出|output: 125,999,999
2026-02-02 21:08:41.748 - INFO - 已处理|Processed: 127,000,000 kmers, 输出|output: 126,999,999
2026-02-02 21:08:57.490 - INFO - 已处理|Processed: 128,000,000 kmers, 输出|output: 127,999,999
2026-02-02 21:09:13.190 - INFO - 已处理|Processed: 129,000,000 kmers, 输出|output: 128,999,999
2026-02-02 21:09:28.879 - INFO - 已处理|Processed: 130,000,000 kmers, 输出|output: 129,999,999
2026-02-02 21:09:44.562 - INFO - 已处理|Processed: 131,000,000 kmers, 输出|output: 130,999,999
2026-02-02 21:10:00.244 - INFO - 已处理|Processed: 132,000,000 kmers, 输出|output: 131,999,999
2026-02-02 21:10:15.906 - INFO - 已处理|Processed: 133,000,000 kmers, 输出|output: 132,999,999
2026-02-02 21:10:31.574 - INFO - 已处理|Processed: 134,000,000 kmers, 输出|output: 133,999,999
2026-02-02 21:10:47.236 - INFO - 已处理|Processed: 135,000,000 kmers, 输出|output: 134,999,999
2026-02-02 21:11:02.891 - INFO - 已处理|Processed: 136,000,000 kmers, 输出|output: 135,999,999
2026-02-02 21:11:18.531 - INFO - 已处理|Processed: 137,000,000 kmers, 输出|output: 136,999,999
2026-02-02 21:11:34.194 - INFO - 已处理|Processed: 138,000,000 kmers, 输出|output: 137,999,999
2026-02-02 21:11:49.853 - INFO - 已处理|Processed: 139,000,000 kmers, 输出|output: 138,999,999
2026-02-02 21:12:05.500 - INFO - 已处理|Processed: 140,000,000 kmers, 输出|output: 139,999,999
2026-02-02 21:12:21.196 - INFO - 已处理|Processed: 141,000,000 kmers, 输出|output: 140,999,999
2026-02-02 21:12:36.909 - INFO - 已处理|Processed: 142,000,000 kmers, 输出|output: 141,999,999
2026-02-02 21:12:52.618 - INFO - 已处理|Processed: 143,000,000 kmers, 输出|output: 142,999,999
2026-02-02 21:13:08.316 - INFO - 已处理|Processed: 144,000,000 kmers, 输出|output: 143,999,999
2026-02-02 21:13:24.030 - INFO - 已处理|Processed: 145,000,000 kmers, 输出|output: 144,999,999
2026-02-02 21:13:39.765 - INFO - 已处理|Processed: 146,000,000 kmers, 输出|output: 145,999,999
2026-02-02 21:13:55.519 - INFO - 已处理|Processed: 147,000,000 kmers, 输出|output: 146,999,999
2026-02-02 21:14:11.371 - INFO - 已处理|Processed: 148,000,000 kmers, 输出|output: 147,999,999
2026-02-02 21:14:27.284 - INFO - 已处理|Processed: 149,000,000 kmers, 输出|output: 148,999,999
2026-02-02 21:14:43.208 - INFO - 已处理|Processed: 150,000,000 kmers, 输出|output: 149,999,999
2026-02-02 21:14:59.132 - INFO - 已处理|Processed: 151,000,000 kmers, 输出|output: 150,999,999
2026-02-02 21:15:14.939 - INFO - 已处理|Processed: 152,000,000 kmers, 输出|output: 151,999,999
2026-02-02 21:15:30.625 - INFO - 已处理|Processed: 153,000,000 kmers, 输出|output: 152,999,999
2026-02-02 21:15:46.308 - INFO - 已处理|Processed: 154,000,000 kmers, 输出|output: 153,999,999
2026-02-02 21:16:02.019 - INFO - 已处理|Processed: 155,000,000 kmers, 输出|output: 154,999,999
2026-02-02 21:16:17.702 - INFO - 已处理|Processed: 156,000,000 kmers, 输出|output: 155,999,999
2026-02-02 21:16:33.386 - INFO - 已处理|Processed: 157,000,000 kmers, 输出|output: 156,999,999
2026-02-02 21:16:49.068 - INFO - 已处理|Processed: 158,000,000 kmers, 输出|output: 157,999,999
2026-02-02 21:17:04.740 - INFO - 已处理|Processed: 159,000,000 kmers, 输出|output: 158,999,999
2026-02-02 21:17:20.439 - INFO - 已处理|Processed: 160,000,000 kmers, 输出|output: 159,999,999
2026-02-02 21:17:36.111 - INFO - 已处理|Processed: 161,000,000 kmers, 输出|output: 160,999,999
2026-02-02 21:17:51.797 - INFO - 已处理|Processed: 162,000,000 kmers, 输出|output: 161,999,999
2026-02-02 21:18:07.506 - INFO - 已处理|Processed: 163,000,000 kmers, 输出|output: 162,999,999
2026-02-02 21:18:23.241 - INFO - 已处理|Processed: 164,000,000 kmers, 输出|output: 163,999,999
2026-02-02 21:18:38.943 - INFO - 已处理|Processed: 165,000,000 kmers, 输出|output: 164,999,999
2026-02-02 21:18:54.662 - INFO - 已处理|Processed: 166,000,000 kmers, 输出|output: 165,999,999
2026-02-02 21:19:10.368 - INFO - 已处理|Processed: 167,000,000 kmers, 输出|output: 166,999,999
2026-02-02 21:19:26.072 - INFO - 已处理|Processed: 168,000,000 kmers, 输出|output: 167,999,999
2026-02-02 21:19:41.804 - INFO - 已处理|Processed: 169,000,000 kmers, 输出|output: 168,999,999
2026-02-02 21:19:57.459 - INFO - 已处理|Processed: 170,000,000 kmers, 输出|output: 169,999,999
2026-02-02 21:20:13.139 - INFO - 已处理|Processed: 171,000,000 kmers, 输出|output: 170,999,999
2026-02-02 21:20:28.811 - INFO - 已处理|Processed: 172,000,000 kmers, 输出|output: 171,999,999
2026-02-02 21:20:44.489 - INFO - 已处理|Processed: 173,000,000 kmers, 输出|output: 172,999,999
2026-02-02 21:21:00.157 - INFO - 已处理|Processed: 174,000,000 kmers, 输出|output: 173,999,999
2026-02-02 21:21:15.842 - INFO - 已处理|Processed: 175,000,000 kmers, 输出|output: 174,999,999
2026-02-02 21:21:31.541 - INFO - 已处理|Processed: 176,000,000 kmers, 输出|output: 175,999,999
2026-02-02 21:21:47.219 - INFO - 已处理|Processed: 177,000,000 kmers, 输出|output: 176,999,999
2026-02-02 21:22:02.912 - INFO - 已处理|Processed: 178,000,000 kmers, 输出|output: 177,999,999
2026-02-02 21:22:18.723 - INFO - 已处理|Processed: 179,000,000 kmers, 输出|output: 178,999,999
2026-02-02 21:22:34.534 - INFO - 已处理|Processed: 180,000,000 kmers, 输出|output: 179,999,999
2026-02-02 21:22:50.335 - INFO - 已处理|Processed: 181,000,000 kmers, 输出|output: 180,999,999
2026-02-02 21:23:06.130 - INFO - 已处理|Processed: 182,000,000 kmers, 输出|output: 181,999,999
2026-02-02 21:23:21.865 - INFO - 已处理|Processed: 183,000,000 kmers, 输出|output: 182,999,999
2026-02-02 21:23:37.596 - INFO - 已处理|Processed: 184,000,000 kmers, 输出|output: 183,999,999
2026-02-02 21:23:53.349 - INFO - 已处理|Processed: 185,000,000 kmers, 输出|output: 184,999,999
2026-02-02 21:24:09.077 - INFO - 已处理|Processed: 186,000,000 kmers, 输出|output: 185,999,999
2026-02-02 21:24:24.804 - INFO - 已处理|Processed: 187,000,000 kmers, 输出|output: 186,999,999
2026-02-02 21:24:40.530 - INFO - 已处理|Processed: 188,000,000 kmers, 输出|output: 187,999,999
2026-02-02 21:24:56.294 - INFO - 已处理|Processed: 189,000,000 kmers, 输出|output: 188,999,999
2026-02-02 21:25:12.013 - INFO - 已处理|Processed: 190,000,000 kmers, 输出|output: 189,999,999
2026-02-02 21:25:27.763 - INFO - 已处理|Processed: 191,000,000 kmers, 输出|output: 190,999,999
2026-02-02 21:25:43.503 - INFO - 已处理|Processed: 192,000,000 kmers, 输出|output: 191,999,999
2026-02-02 21:25:59.247 - INFO - 已处理|Processed: 193,000,000 kmers, 输出|output: 192,999,999
2026-02-02 21:26:15.010 - INFO - 已处理|Processed: 194,000,000 kmers, 输出|output: 193,999,999
2026-02-02 21:26:30.786 - INFO - 已处理|Processed: 195,000,000 kmers, 输出|output: 194,999,999
2026-02-02 21:26:46.566 - INFO - 已处理|Processed: 196,000,000 kmers, 输出|output: 195,999,999
2026-02-02 21:27:02.348 - INFO - 已处理|Processed: 197,000,000 kmers, 输出|output: 196,999,999
2026-02-02 21:27:18.115 - INFO - 已处理|Processed: 198,000,000 kmers, 输出|output: 197,999,999
2026-02-02 21:27:33.845 - INFO - 已处理|Processed: 199,000,000 kmers, 输出|output: 198,999,999
2026-02-02 21:27:49.617 - INFO - 已处理|Processed: 200,000,000 kmers, 输出|output: 199,999,999
2026-02-02 21:28:05.362 - INFO - 已处理|Processed: 201,000,000 kmers, 输出|output: 200,999,999
2026-02-02 21:28:21.166 - INFO - 已处理|Processed: 202,000,000 kmers, 输出|output: 201,999,999
2026-02-02 21:28:36.866 - INFO - 已处理|Processed: 203,000,000 kmers, 输出|output: 202,999,999
2026-02-02 21:28:52.552 - INFO - 已处理|Processed: 204,000,000 kmers, 输出|output: 203,999,999
2026-02-02 21:29:08.227 - INFO - 已处理|Processed: 205,000,000 kmers, 输出|output: 204,999,999
2026-02-02 21:29:23.927 - INFO - 已处理|Processed: 206,000,000 kmers, 输出|output: 205,999,999
2026-02-02 21:29:39.613 - INFO - 已处理|Processed: 207,000,000 kmers, 输出|output: 206,999,999
2026-02-02 21:29:55.289 - INFO - 已处理|Processed: 208,000,000 kmers, 输出|output: 207,999,999
2026-02-02 21:30:10.990 - INFO - 已处理|Processed: 209,000,000 kmers, 输出|output: 208,999,999
2026-02-02 21:30:26.700 - INFO - 已处理|Processed: 210,000,000 kmers, 输出|output: 209,999,999
2026-02-02 21:30:42.423 - INFO - 已处理|Processed: 211,000,000 kmers, 输出|output: 210,999,999
2026-02-02 21:30:58.134 - INFO - 已处理|Processed: 212,000,000 kmers, 输出|output: 211,999,999
2026-02-02 21:31:13.898 - INFO - 已处理|Processed: 213,000,000 kmers, 输出|output: 212,999,999
2026-02-02 21:31:29.593 - INFO - 已处理|Processed: 214,000,000 kmers, 输出|output: 213,999,999
2026-02-02 21:31:45.302 - INFO - 已处理|Processed: 215,000,000 kmers, 输出|output: 214,999,999
2026-02-02 21:32:01.056 - INFO - 已处理|Processed: 216,000,000 kmers, 输出|output: 215,999,999
2026-02-02 21:32:16.799 - INFO - 已处理|Processed: 217,000,000 kmers, 输出|output: 216,999,999
2026-02-02 21:32:32.551 - INFO - 已处理|Processed: 218,000,000 kmers, 输出|output: 217,999,999
2026-02-02 21:32:48.268 - INFO - 已处理|Processed: 219,000,000 kmers, 输出|output: 218,999,999
2026-02-02 21:33:04.044 - INFO - 已处理|Processed: 220,000,000 kmers, 输出|output: 219,999,999
2026-02-02 21:33:19.801 - INFO - 已处理|Processed: 221,000,000 kmers, 输出|output: 220,999,999
2026-02-02 21:33:35.592 - INFO - 已处理|Processed: 222,000,000 kmers, 输出|output: 221,999,999
2026-02-02 21:33:51.354 - INFO - 已处理|Processed: 223,000,000 kmers, 输出|output: 222,999,999
