正在处理 SNP 文件: variation.filtered.snp.vcf.gz...
SNP 文件处理完成.
正在处理 INDEL 文件: variation.filtered.indel.vcf.gz...
INDEL 文件处理完成.

#CHROM	SAMPLE	SNP_COUNT	INDEL_COUNT	INDEL_TYPE
NC_081805.1	BS02	530833	36729	insertion
NC_081805.1	BS02	530833	45583	deletion
NC_081806.1	BS02	366950	22748	insertion
NC_081806.1	BS02	366950	27406	deletion
NC_081807.1	BS02	425915	25858	insertion
NC_081807.1	BS02	425915	33373	deletion
NC_081808.1	BS02	411646	28895	insertion
NC_081808.1	BS02	411646	35137	deletion
NC_081809.1	BS02	559855	36497	insertion
NC_081809.1	BS02	559855	46659	deletion
NC_081810.1	BS02	451195	31240	insertion
NC_081810.1	BS02	451195	39345	deletion
NC_081811.1	BS02	562150	38512	insertion
NC_081811.1	BS02	562150	48395	deletion
NC_081812.1	BS02	451782	32504	insertion
NC_081812.1	BS02	451782	39667	deletion
NC_081813.1	BS02	506077	31775	insertion
NC_081813.1	BS02	506077	42412	deletion
NC_081814.1	BS02	463319	31702	insertion
NC_081814.1	BS02	463319	38830	deletion
NC_081815.1	BS02	362429	23545	insertion
NC_081815.1	BS02	362429	29951	deletion
NC_081816.1	BS02	459866	30297	insertion
NC_081816.1	BS02	459866	37654	deletion
NC_081817.1	BS02	550191	37709	insertion
NC_081817.1	BS02	550191	46981	deletion
NC_081818.1	BS02	475531	31290	insertion
NC_081818.1	BS02	475531	39683	deletion
NC_081819.1	BS02	372494	22994	insertion
NC_081819.1	BS02	372494	29355	deletion
NC_081820.1	BS02	478855	30405	insertion
NC_081820.1	BS02	478855	40747	deletion
NC_081821.1	BS02	223205	14260	insertion
NC_081821.1	BS02	223205	17203	deletion
NC_081822.1	BS02	560918	37811	insertion
NC_081822.1	BS02	560918	47169	deletion
NC_081823.1	BS02	532158	33202	insertion
NC_081823.1	BS02	532158	42450	deletion
NC_007957.1	BS03	10	2	insertion
NC_007957.1	BS03	10	3	deletion
NC_012119.1	BS03	322	80	insertion
NC_012119.1	BS03	322	74	deletion
NC_081805.1	BS03	550830	41409	insertion
NC_081805.1	BS03	550830	50381	deletion
NC_081806.1	BS03	375163	25262	insertion
NC_081806.1	BS03	375163	29970	deletion
NC_081807.1	BS03	439696	29156	insertion
NC_081807.1	BS03	439696	36969	deletion
NC_081808.1	BS03	424031	32165	insertion
NC_081808.1	BS03	424031	38674	deletion
NC_081809.1	BS03	580233	40983	insertion
NC_081809.1	BS03	580233	51490	deletion
NC_081810.1	BS03	464598	34935	insertion
NC_081810.1	BS03	464598	43374	deletion
NC_081811.1	BS03	581805	43366	insertion
NC_081811.1	BS03	581805	53215	deletion
NC_081812.1	BS03	468442	36257	insertion
NC_081812.1	BS03	468442	43433	deletion
NC_081813.1	BS03	524345	35940	insertion
NC_081813.1	BS03	524345	47281	deletion
NC_081814.1	BS03	476114	35030	insertion
NC_081814.1	BS03	476114	42369	deletion
NC_081815.1	BS03	371747	26384	insertion
NC_081815.1	BS03	371747	32926	deletion
NC_081816.1	BS03	472871	33898	insertion
NC_081816.1	BS03	472871	41272	deletion
NC_081817.1	BS03	561240	41608	insertion
NC_081817.1	BS03	561240	50638	deletion
NC_081818.1	BS03	486991	34901	insertion
NC_081818.1	BS03	486991	43320	deletion
NC_081819.1	BS03	380067	25637	insertion
NC_081819.1	BS03	380067	32252	deletion
NC_081820.1	BS03	499433	34718	insertion
NC_081820.1	BS03	499433	45465	deletion
NC_081821.1	BS03	224787	15567	insertion
NC_081821.1	BS03	224787	18467	deletion
NC_081822.1	BS03	570020	41727	insertion
NC_081822.1	BS03	570020	51088	deletion
NC_081823.1	BS03	548126	37451	insertion
NC_081823.1	BS03	548126	46904	deletion
NC_007957.1	BS04	10	2	insertion
NC_007957.1	BS04	10	3	deletion
NC_012119.1	BS04	322	81	insertion
NC_012119.1	BS04	322	73	deletion
NC_081805.1	BS04	550896	41458	insertion
NC_081805.1	BS04	550896	50300	deletion
NC_081806.1	BS04	375688	25350	insertion
NC_081806.1	BS04	375688	30114	deletion
NC_081807.1	BS04	439318	29341	insertion
NC_081807.1	BS04	439318	37064	deletion
NC_081808.1	BS04	425023	32347	insertion
NC_081808.1	BS04	425023	38464	deletion
NC_081809.1	BS04	581272	41065	insertion
NC_081809.1	BS04	581272	51411	deletion
NC_081810.1	BS04	465140	34923	insertion
NC_081810.1	BS04	465140	43591	deletion
NC_081811.1	BS04	582617	43378	insertion
NC_081811.1	BS04	582617	53324	deletion
NC_081812.1	BS04	469564	36300	insertion
NC_081812.1	BS04	469564	43631	deletion
NC_081813.1	BS04	525111	36068	insertion
NC_081813.1	BS04	525111	47399	deletion
NC_081814.1	BS04	476560	35102	insertion
NC_081814.1	BS04	476560	42435	deletion
NC_081815.1	BS04	373295	26419	insertion
NC_081815.1	BS04	373295	33130	deletion
NC_081816.1	BS04	472322	33669	insertion
NC_081816.1	BS04	472322	40914	deletion
NC_081817.1	BS04	561754	41553	insertion
NC_081817.1	BS04	561754	50636	deletion
NC_081818.1	BS04	486653	34946	insertion
NC_081818.1	BS04	486653	43497	deletion
NC_081819.1	BS04	379961	25762	insertion
NC_081819.1	BS04	379961	32443	deletion
NC_081820.1	BS04	498802	34728	insertion
NC_081820.1	BS04	498802	45559	deletion
NC_081821.1	BS04	225734	15766	insertion
NC_081821.1	BS04	225734	18602	deletion
NC_081822.1	BS04	569897	41758	insertion
NC_081822.1	BS04	569897	51040	deletion
NC_081823.1	BS04	549266	37368	insertion
NC_081823.1	BS04	549266	46872	deletion
NC_007957.1	BS05	10	2	insertion
NC_007957.1	BS05	10	3	deletion
NC_012119.1	BS05	326	80	insertion
NC_012119.1	BS05	326	73	deletion
NC_081805.1	BS05	553469	41942	insertion
NC_081805.1	BS05	553469	50783	deletion
NC_081806.1	BS05	375518	25421	insertion
NC_081806.1	BS05	375518	30191	deletion
NC_081807.1	BS05	440982	29459	insertion
NC_081807.1	BS05	440982	37251	deletion
NC_081808.1	BS05	425537	32490	insertion
NC_081808.1	BS05	425537	38870	deletion
NC_081809.1	BS05	582288	41364	insertion
NC_081809.1	BS05	582288	51843	deletion
NC_081810.1	BS05	466315	35230	insertion
NC_081810.1	BS05	466315	43779	deletion
NC_081811.1	BS05	585120	43702	insertion
NC_081811.1	BS05	585120	53740	deletion
NC_081812.1	BS05	470409	36612	insertion
NC_081812.1	BS05	470409	43903	deletion
NC_081813.1	BS05	526400	36251	insertion
NC_081813.1	BS05	526400	47633	deletion
NC_081814.1	BS05	477774	35405	insertion
NC_081814.1	BS05	477774	42850	deletion
NC_081815.1	BS05	374346	26806	insertion
NC_081815.1	BS05	374346	33406	deletion
NC_081816.1	BS05	474517	34091	insertion
NC_081816.1	BS05	474517	41579	deletion
NC_081817.1	BS05	562452	41860	insertion
NC_081817.1	BS05	562452	50937	deletion
NC_081818.1	BS05	489344	35398	insertion
NC_081818.1	BS05	489344	43621	deletion
NC_081819.1	BS05	381557	25809	insertion
NC_081819.1	BS05	381557	32653	deletion
NC_081820.1	BS05	500178	35039	insertion
NC_081820.1	BS05	500178	45803	deletion
NC_081821.1	BS05	225931	15835	insertion
NC_081821.1	BS05	225931	18612	deletion
NC_081822.1	BS05	571232	41750	insertion
NC_081822.1	BS05	571232	51317	deletion
NC_081823.1	BS05	550278	37784	insertion
NC_081823.1	BS05	550278	47284	deletion
NC_007957.1	BS06	10	2	insertion
NC_007957.1	BS06	10	3	deletion
NC_012119.1	BS06	324	80	insertion
NC_012119.1	BS06	324	73	deletion
NC_081805.1	BS06	550332	41207	insertion
NC_081805.1	BS06	550332	50065	deletion
NC_081806.1	BS06	375903	25150	insertion
NC_081806.1	BS06	375903	30084	deletion
NC_081807.1	BS06	439398	29099	insertion
NC_081807.1	BS06	439398	36804	deletion
NC_081808.1	BS06	423337	31996	insertion
NC_081808.1	BS06	423337	38341	deletion
NC_081809.1	BS06	579270	40667	insertion
NC_081809.1	BS06	579270	51172	deletion
NC_081810.1	BS06	463587	34627	insertion
NC_081810.1	BS06	463587	43259	deletion
NC_081811.1	BS06	581918	42927	insertion
NC_081811.1	BS06	581918	52969	deletion
NC_081812.1	BS06	467735	35999	insertion
NC_081812.1	BS06	467735	43211	deletion
NC_081813.1	BS06	522466	35478	insertion
NC_081813.1	BS06	522466	46863	deletion
NC_081814.1	BS06	475098	34842	insertion
NC_081814.1	BS06	475098	42198	deletion
NC_081815.1	BS06	370952	26229	insertion
NC_081815.1	BS06	370952	32719	deletion
NC_081816.1	BS06	472799	33589	insertion
NC_081816.1	BS06	472799	41036	deletion
NC_081817.1	BS06	560486	41450	insertion
NC_081817.1	BS06	560486	50497	deletion
NC_081818.1	BS06	487024	34725	insertion
NC_081818.1	BS06	487024	43071	deletion
NC_081819.1	BS06	380523	25604	insertion
NC_081819.1	BS06	380523	32262	deletion
NC_081820.1	BS06	497364	34449	insertion
NC_081820.1	BS06	497364	45250	deletion
NC_081821.1	BS06	225982	15651	insertion
NC_081821.1	BS06	225982	18617	deletion
NC_081822.1	BS06	570419	41302	insertion
NC_081822.1	BS06	570419	50584	deletion
NC_081823.1	BS06	547466	37037	insertion
NC_081823.1	BS06	547466	46567	deletion
NC_007957.1	BS07	10	2	insertion
NC_007957.1	BS07	10	3	deletion
NC_012119.1	BS07	321	80	insertion
NC_012119.1	BS07	321	73	deletion
NC_081805.1	BS07	548901	41150	insertion
NC_081805.1	BS07	548901	49897	deletion
NC_081806.1	BS07	373297	25175	insertion
NC_081806.1	BS07	373297	29762	deletion
NC_081807.1	BS07	438277	29127	insertion
NC_081807.1	BS07	438277	36854	deletion
NC_081808.1	BS07	422638	31915	insertion
NC_081808.1	BS07	422638	38337	deletion
NC_081809.1	BS07	578549	40712	insertion
NC_081809.1	BS07	578549	51040	deletion
NC_081810.1	BS07	463953	34772	insertion
NC_081810.1	BS07	463953	43241	deletion
NC_081811.1	BS07	580144	43028	insertion
NC_081811.1	BS07	580144	52976	deletion
NC_081812.1	BS07	467247	36091	insertion
NC_081812.1	BS07	467247	43247	deletion
NC_081813.1	BS07	523167	35829	insertion
NC_081813.1	BS07	523167	47061	deletion
NC_081814.1	BS07	474128	34892	insertion
NC_081814.1	BS07	474128	42172	deletion
NC_081815.1	BS07	371093	26243	insertion
NC_081815.1	BS07	371093	32775	deletion
NC_081816.1	BS07	471153	33725	insertion
NC_081816.1	BS07	471153	41151	deletion
NC_081817.1	BS07	559726	41458	insertion
NC_081817.1	BS07	559726	50501	deletion
NC_081818.1	BS07	486301	34753	insertion
NC_081818.1	BS07	486301	43189	deletion
NC_081819.1	BS07	379632	25461	insertion
NC_081819.1	BS07	379632	32166	deletion
NC_081820.1	BS07	496150	34414	insertion
NC_081820.1	BS07	496150	45221	deletion
NC_081821.1	BS07	224780	15706	insertion
NC_081821.1	BS07	224780	18564	deletion
NC_081822.1	BS07	567955	41460	insertion
NC_081822.1	BS07	567955	50809	deletion
NC_081823.1	BS07	545168	37124	insertion
NC_081823.1	BS07	545168	46568	deletion
NC_007957.1	BS08	10	2	insertion
NC_007957.1	BS08	10	3	deletion
NC_012119.1	BS08	324	82	insertion
NC_012119.1	BS08	324	73	deletion
NC_081805.1	BS08	550888	41442	insertion
NC_081805.1	BS08	550888	50355	deletion
NC_081806.1	BS08	376345	25324	insertion
NC_081806.1	BS08	376345	29939	deletion
NC_081807.1	BS08	440690	29310	insertion
NC_081807.1	BS08	440690	37043	deletion
NC_081808.1	BS08	424727	32231	insertion
NC_081808.1	BS08	424727	38508	deletion
NC_081809.1	BS08	579868	41029	insertion
NC_081809.1	BS08	579868	51226	deletion
NC_081810.1	BS08	465824	34865	insertion
NC_081810.1	BS08	465824	43475	deletion
NC_081811.1	BS08	582523	43408	insertion
NC_081811.1	BS08	582523	53192	deletion
NC_081812.1	BS08	469272	36525	insertion
NC_081812.1	BS08	469272	43570	deletion
NC_081813.1	BS08	525613	36005	insertion
NC_081813.1	BS08	525613	47235	deletion
NC_081814.1	BS08	476700	35101	insertion
NC_081814.1	BS08	476700	42606	deletion
NC_081815.1	BS08	372799	26455	insertion
NC_081815.1	BS08	372799	33102	deletion
NC_081816.1	BS08	472817	33746	insertion
NC_081816.1	BS08	472817	41106	deletion
NC_081817.1	BS08	562197	41595	insertion
NC_081817.1	BS08	562197	50576	deletion
NC_081818.1	BS08	488199	35079	insertion
NC_081818.1	BS08	488199	43413	deletion
NC_081819.1	BS08	381670	25775	insertion
NC_081819.1	BS08	381670	32256	deletion
NC_081820.1	BS08	497969	34714	insertion
NC_081820.1	BS08	497969	45404	deletion
NC_081821.1	BS08	225808	15682	insertion
NC_081821.1	BS08	225808	18546	deletion
NC_081822.1	BS08	570145	41699	insertion
NC_081822.1	BS08	570145	51139	deletion
NC_081823.1	BS08	549120	37474	insertion
NC_081823.1	BS08	549120	46890	deletion
NC_007957.1	BS09	10	2	insertion
NC_007957.1	BS09	10	3	deletion
NC_012119.1	BS09	324	81	insertion
NC_012119.1	BS09	324	73	deletion
NC_081805.1	BS09	549576	41099	insertion
NC_081805.1	BS09	549576	49965	deletion
NC_081806.1	BS09	374923	25117	insertion
NC_081806.1	BS09	374923	29802	deletion
NC_081807.1	BS09	439293	29256	insertion
NC_081807.1	BS09	439293	36853	deletion
NC_081808.1	BS09	423395	32161	insertion
NC_081808.1	BS09	423395	38406	deletion
NC_081809.1	BS09	579681	40941	insertion
NC_081809.1	BS09	579681	51228	deletion
NC_081810.1	BS09	463568	34578	insertion
NC_081810.1	BS09	463568	43087	deletion
NC_081811.1	BS09	581394	43028	insertion
NC_081811.1	BS09	581394	53016	deletion
NC_081812.1	BS09	467926	36137	insertion
NC_081812.1	BS09	467926	43463	deletion
NC_081813.1	BS09	523947	35971	insertion
NC_081813.1	BS09	523947	47130	deletion
NC_081814.1	BS09	474995	34862	insertion
NC_081814.1	BS09	474995	42202	deletion
NC_081815.1	BS09	372134	26163	insertion
NC_081815.1	BS09	372134	32955	deletion
NC_081816.1	BS09	472044	33784	insertion
NC_081816.1	BS09	472044	41058	deletion
NC_081817.1	BS09	559991	41292	insertion
NC_081817.1	BS09	559991	50492	deletion
NC_081818.1	BS09	485913	34763	insertion
NC_081818.1	BS09	485913	43193	deletion
NC_081819.1	BS09	379684	25466	insertion
NC_081819.1	BS09	379684	32206	deletion
NC_081820.1	BS09	498105	34439	insertion
NC_081820.1	BS09	498105	45346	deletion
NC_081821.1	BS09	225215	15592	insertion
NC_081821.1	BS09	225215	18441	deletion
NC_081822.1	BS09	569659	41418	insertion
NC_081822.1	BS09	569659	50871	deletion
NC_081823.1	BS09	547771	37228	insertion
NC_081823.1	BS09	547771	46766	deletion
NC_007957.1	BS10	10	2	insertion
NC_007957.1	BS10	10	3	deletion
NC_012119.1	BS10	320	80	insertion
NC_012119.1	BS10	320	74	deletion
NC_081805.1	BS10	548653	40599	insertion
NC_081805.1	BS10	548653	49483	deletion
NC_081806.1	BS10	375268	24792	insertion
NC_081806.1	BS10	375268	29596	deletion
NC_081807.1	BS10	438203	28707	insertion
NC_081807.1	BS10	438203	36237	deletion
NC_081808.1	BS10	423946	31722	insertion
NC_081808.1	BS10	423946	38126	deletion
NC_081809.1	BS10	577490	40098	insertion
NC_081809.1	BS10	577490	50446	deletion
NC_081810.1	BS10	463142	34023	insertion
NC_081810.1	BS10	463142	42760	deletion
NC_081811.1	BS10	581232	42518	insertion
NC_081811.1	BS10	581232	52537	deletion
NC_081812.1	BS10	466356	35404	insertion
NC_081812.1	BS10	466356	42821	deletion
NC_081813.1	BS10	523348	35134	insertion
NC_081813.1	BS10	523348	46425	deletion
NC_081814.1	BS10	475480	34611	insertion
NC_081814.1	BS10	475480	41938	deletion
NC_081815.1	BS10	372292	25887	insertion
NC_081815.1	BS10	372292	32495	deletion
NC_081816.1	BS10	472564	33250	insertion
NC_081816.1	BS10	472564	40646	deletion
NC_081817.1	BS10	561674	41011	insertion
NC_081817.1	BS10	561674	50110	deletion
NC_081818.1	BS10	486408	34316	insertion
NC_081818.1	BS10	486408	42821	deletion
NC_081819.1	BS10	381173	25264	insertion
NC_081819.1	BS10	381173	31896	deletion
NC_081820.1	BS10	497121	33908	insertion
NC_081820.1	BS10	497121	44727	deletion
NC_081821.1	BS10	227462	15538	insertion
NC_081821.1	BS10	227462	18503	deletion
NC_081822.1	BS10	571031	40827	insertion
NC_081822.1	BS10	571031	50457	deletion
NC_081823.1	BS10	546199	36628	insertion
NC_081823.1	BS10	546199	46121	deletion
NC_007957.1	BS11	10	2	insertion
NC_007957.1	BS11	10	3	deletion
NC_012119.1	BS11	327	80	insertion
NC_012119.1	BS11	327	74	deletion
NC_081805.1	BS11	551001	41571	insertion
NC_081805.1	BS11	551001	50315	deletion
NC_081806.1	BS11	374902	25367	insertion
NC_081806.1	BS11	374902	29987	deletion
NC_081807.1	BS11	438461	29206	insertion
NC_081807.1	BS11	438461	37022	deletion
NC_081808.1	BS11	424252	32360	insertion
NC_081808.1	BS11	424252	38570	deletion
NC_081809.1	BS11	579371	41009	insertion
NC_081809.1	BS11	579371	51528	deletion
NC_081810.1	BS11	463836	34877	insertion
NC_081810.1	BS11	463836	43444	deletion
NC_081811.1	BS11	581009	43231	insertion
NC_081811.1	BS11	581009	53059	deletion
NC_081812.1	BS11	467553	36091	insertion
NC_081812.1	BS11	467553	43204	deletion
NC_081813.1	BS11	523800	35932	insertion
NC_081813.1	BS11	523800	47297	deletion
NC_081814.1	BS11	475028	34884	insertion
NC_081814.1	BS11	475028	42301	deletion
NC_081815.1	BS11	371551	26347	insertion
NC_081815.1	BS11	371551	32897	deletion
NC_081816.1	BS11	471182	33812	insertion
NC_081816.1	BS11	471182	41246	deletion
NC_081817.1	BS11	560610	41541	insertion
NC_081817.1	BS11	560610	50453	deletion
NC_081818.1	BS11	485377	34875	insertion
NC_081818.1	BS11	485377	43343	deletion
NC_081819.1	BS11	380120	25848	insertion
NC_081819.1	BS11	380120	32419	deletion
NC_081820.1	BS11	498301	34772	insertion
NC_081820.1	BS11	498301	45470	deletion
NC_081821.1	BS11	224103	15596	insertion
NC_081821.1	BS11	224103	18491	deletion
NC_081822.1	BS11	569111	41581	insertion
NC_081822.1	BS11	569111	50866	deletion
NC_081823.1	BS11	546676	37319	insertion
NC_081823.1	BS11	546676	46957	deletion
NC_007957.1	BS12	10	2	insertion
NC_007957.1	BS12	10	3	deletion
NC_012119.1	BS12	326	82	insertion
NC_012119.1	BS12	326	76	deletion
NC_081805.1	BS12	551674	41657	insertion
NC_081805.1	BS12	551674	50445	deletion
NC_081806.1	BS12	375652	25378	insertion
NC_081806.1	BS12	375652	30036	deletion
NC_081807.1	BS12	439053	29469	insertion
NC_081807.1	BS12	439053	37050	deletion
NC_081808.1	BS12	424050	32478	insertion
NC_081808.1	BS12	424050	38577	deletion
NC_081809.1	BS12	580881	41118	insertion
NC_081809.1	BS12	580881	51520	deletion
NC_081810.1	BS12	465166	34967	insertion
NC_081810.1	BS12	465166	43596	deletion
NC_081811.1	BS12	582144	43513	insertion
NC_081811.1	BS12	582144	53211	deletion
NC_081812.1	BS12	469407	36556	insertion
NC_081812.1	BS12	469407	43813	deletion
NC_081813.1	BS12	524865	36309	insertion
NC_081813.1	BS12	524865	47451	deletion
NC_081814.1	BS12	476366	35076	insertion
NC_081814.1	BS12	476366	42474	deletion
NC_081815.1	BS12	372517	26436	insertion
NC_081815.1	BS12	372517	33000	deletion
NC_081816.1	BS12	472711	34012	insertion
NC_081816.1	BS12	472711	41407	deletion
NC_081817.1	BS12	562087	41789	insertion
NC_081817.1	BS12	562087	50615	deletion
NC_081818.1	BS12	488148	35127	insertion
NC_081818.1	BS12	488148	43498	deletion
NC_081819.1	BS12	381169	25841	insertion
NC_081819.1	BS12	381169	32399	deletion
NC_081820.1	BS12	498949	34728	insertion
NC_081820.1	BS12	498949	45490	deletion
NC_081821.1	BS12	225472	15797	insertion
NC_081821.1	BS12	225472	18628	deletion
NC_081822.1	BS12	570048	41614	insertion
NC_081822.1	BS12	570048	51162	deletion
NC_081823.1	BS12	549122	37587	insertion
NC_081823.1	BS12	549122	47019	deletion
NC_007957.1	BS13	10	2	insertion
NC_007957.1	BS13	10	3	deletion
NC_012119.1	BS13	323	80	insertion
NC_012119.1	BS13	323	74	deletion
NC_081805.1	BS13	547720	40827	insertion
NC_081805.1	BS13	547720	49763	deletion
NC_081806.1	BS13	372717	24954	insertion
NC_081806.1	BS13	372717	29522	deletion
NC_081807.1	BS13	436171	28758	insertion
NC_081807.1	BS13	436171	36552	deletion
NC_081808.1	BS13	421435	31935	insertion
NC_081808.1	BS13	421435	38234	deletion
NC_081809.1	BS13	577078	40675	insertion
NC_081809.1	BS13	577078	50904	deletion
NC_081810.1	BS13	461675	34559	insertion
NC_081810.1	BS13	461675	43051	deletion
NC_081811.1	BS13	578417	42593	insertion
NC_081811.1	BS13	578417	52597	deletion
NC_081812.1	BS13	466260	35986	insertion
NC_081812.1	BS13	466260	43107	deletion
NC_081813.1	BS13	520787	35630	insertion
NC_081813.1	BS13	520787	46723	deletion
NC_081814.1	BS13	472732	34762	insertion
NC_081814.1	BS13	472732	41923	deletion
NC_081815.1	BS13	370631	25978	insertion
NC_081815.1	BS13	370631	32514	deletion
NC_081816.1	BS13	470031	33351	insertion
NC_081816.1	BS13	470031	40748	deletion
NC_081817.1	BS13	557629	41307	insertion
NC_081817.1	BS13	557629	50207	deletion
NC_081818.1	BS13	483799	34552	insertion
NC_081818.1	BS13	483799	42899	deletion
NC_081819.1	BS13	378704	25364	insertion
NC_081819.1	BS13	378704	32016	deletion
NC_081820.1	BS13	494247	34074	insertion
NC_081820.1	BS13	494247	44828	deletion
NC_081821.1	BS13	224701	15630	insertion
NC_081821.1	BS13	224701	18421	deletion
NC_081822.1	BS13	567708	41273	insertion
NC_081822.1	BS13	567708	50834	deletion
NC_081823.1	BS13	543753	36878	insertion
NC_081823.1	BS13	543753	46293	deletion
NC_007957.1	BS14	10	2	insertion
NC_007957.1	BS14	10	3	deletion
NC_012119.1	BS14	324	80	insertion
NC_012119.1	BS14	324	74	deletion
NC_081805.1	BS14	553217	41733	insertion
NC_081805.1	BS14	553217	50636	deletion
NC_081806.1	BS14	377988	25628	insertion
NC_081806.1	BS14	377988	30290	deletion
NC_081807.1	BS14	442139	29710	insertion
NC_081807.1	BS14	442139	37306	deletion
NC_081808.1	BS14	427526	32578	insertion
NC_081808.1	BS14	427526	38924	deletion
NC_081809.1	BS14	584147	41488	insertion
NC_081809.1	BS14	584147	51656	deletion
NC_081810.1	BS14	467498	35256	insertion
NC_081810.1	BS14	467498	43772	deletion
NC_081811.1	BS14	585265	43694	insertion
NC_081811.1	BS14	585265	53570	deletion
NC_081812.1	BS14	471003	36636	insertion
NC_081812.1	BS14	471003	43937	deletion
NC_081813.1	BS14	528285	36301	insertion
NC_081813.1	BS14	528285	47722	deletion
NC_081814.1	BS14	477824	35258	insertion
NC_081814.1	BS14	477824	42715	deletion
NC_081815.1	BS14	374445	26653	insertion
NC_081815.1	BS14	374445	33176	deletion
NC_081816.1	BS14	475526	34047	insertion
NC_081816.1	BS14	475526	41602	deletion
NC_081817.1	BS14	564391	41902	insertion
NC_081817.1	BS14	564391	51157	deletion
NC_081818.1	BS14	490229	35358	insertion
NC_081818.1	BS14	490229	43714	deletion
NC_081819.1	BS14	383388	26045	insertion
NC_081819.1	BS14	383388	32693	deletion
NC_081820.1	BS14	502064	35032	insertion
NC_081820.1	BS14	502064	46055	deletion
NC_081821.1	BS14	226659	15790	insertion
NC_081821.1	BS14	226659	18700	deletion
NC_081822.1	BS14	573306	41878	insertion
NC_081822.1	BS14	573306	51529	deletion
NC_081823.1	BS14	551013	37553	insertion
NC_081823.1	BS14	551013	47387	deletion
NC_007957.1	BS15	10	2	insertion
NC_007957.1	BS15	10	3	deletion
NC_012119.1	BS15	325	80	insertion
NC_012119.1	BS15	325	74	deletion
NC_081805.1	BS15	552883	41687	insertion
NC_081805.1	BS15	552883	50359	deletion
NC_081806.1	BS15	376969	25477	insertion
NC_081806.1	BS15	376969	30133	deletion
NC_081807.1	BS15	442501	29579	insertion
NC_081807.1	BS15	442501	37342	deletion
NC_081808.1	BS15	427780	32547	insertion
NC_081808.1	BS15	427780	38919	deletion
NC_081809.1	BS15	581897	41188	insertion
NC_081809.1	BS15	581897	51571	deletion
NC_081810.1	BS15	467114	35160	insertion
NC_081810.1	BS15	467114	43689	deletion
NC_081811.1	BS15	585958	43462	insertion
NC_081811.1	BS15	585958	53430	deletion
NC_081812.1	BS15	471141	36424	insertion
NC_081812.1	BS15	471141	43761	deletion
NC_081813.1	BS15	526319	36034	insertion
NC_081813.1	BS15	526319	47476	deletion
NC_081814.1	BS15	478185	35239	insertion
NC_081814.1	BS15	478185	42588	deletion
NC_081815.1	BS15	374798	26617	insertion
NC_081815.1	BS15	374798	33045	deletion
NC_081816.1	BS15	474870	33888	insertion
NC_081816.1	BS15	474870	41419	deletion
NC_081817.1	BS15	564506	41898	insertion
NC_081817.1	BS15	564506	51022	deletion
NC_081818.1	BS15	489877	35147	insertion
NC_081818.1	BS15	489877	43605	deletion
NC_081819.1	BS15	382951	25760	insertion
NC_081819.1	BS15	382951	32587	deletion
NC_081820.1	BS15	500883	35036	insertion
NC_081820.1	BS15	500883	45809	deletion
NC_081821.1	BS15	227318	15857	insertion
NC_081821.1	BS15	227318	18674	deletion
NC_081822.1	BS15	572291	41877	insertion
NC_081822.1	BS15	572291	51408	deletion
NC_081823.1	BS15	552043	37686	insertion
NC_081823.1	BS15	552043	47472	deletion
