2026-02-05 18:32:24.337 - INFO - ====================================================================================================
2026-02-05 18:32:24.337 - INFO -  Kmer丰度转VCF工具|Kmer Abundance to VCF Converter
2026-02-05 18:32:24.337 - INFO - ====================================================================================================
2026-02-05 18:32:24.337 - INFO - 输入文件|Input file: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf/kmer_matrix_with_header.txt
2026-02-05 18:32:24.337 - INFO - 输出VCF|Output VCF: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf/soybean_181_samples.vcf.gz
2026-02-05 18:32:24.337 - INFO - 样本数|Number of samples: 181
2026-02-05 18:32:24.351 - INFO - 运行模式|Running mode: 快速模式（单次遍历）|Fast mode (single pass)
2026-02-05 18:32:24.351 - INFO - 染色体数量|Chromosome count: 20
2026-02-05 18:32:24.351 - INFO - 
2026-02-05 18:32:24.351 - INFO - ====================================================================================================
2026-02-05 18:32:24.351 - INFO -  快速模式转换（单次遍历）|Fast Mode Conversion (Single Pass)
2026-02-05 18:32:24.351 - INFO - ====================================================================================================
2026-02-05 18:32:24.351 - INFO - 输入文件|Input file: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf/kmer_matrix_with_header.txt
2026-02-05 18:32:24.351 - INFO - 输出VCF|Output VCF: /share/org/YZWL/yzwl_lixg/project/21.野生大豆群体/05.所有样品/23.kmerGWAS_实验室流程/02.kmer2vcf/soybean_181_samples.vcf.gz
2026-02-05 18:32:24.351 - INFO - 用户指定染色体数量|User-specified chromosome count: 20
2026-02-05 18:32:24.351 - INFO - 
2026-02-05 18:32:24.353 - INFO - 样本数量|Number of samples: 181
2026-02-05 18:32:24.353 - INFO - 预估kmer总数|Estimated total kmers: 17,341,634,442
2026-02-05 18:32:24.353 - INFO - 用户指定染色体数量|User-specified chromosome count: 20
2026-02-05 18:32:24.353 - INFO - 每条染色体平均长度|Average length per chromosome: 867,081,722
2026-02-05 18:32:24.353 - INFO - 
2026-02-05 18:32:24.353 - INFO - 开始转换数据行|Starting data line conversion...
2026-02-05 18:32:40.269 - INFO - 已处理|Processed: 1,000,000 kmers, 输出|output: 999,999
2026-02-05 19:06:22.175 - INFO - 已处理|Processed: 128,000,000 kmers, 输出|output: 127,999,999
2026-02-05 19:06:38.086 - INFO - 已处理|Processed: 129,000,000 kmers, 输出|output: 128,999,999
2026-02-05 19:06:54.056 - INFO - 已处理|Processed: 130,000,000 kmers, 输出|output: 129,999,999
2026-02-05 19:07:09.973 - INFO - 已处理|Processed: 131,000,000 kmers, 输出|output: 130,999,999
2026-02-05 19:07:25.944 - INFO - 已处理|Processed: 132,000,000 kmers, 输出|output: 131,999,999
2026-02-05 19:07:41.870 - INFO - 已处理|Processed: 133,000,000 kmers, 输出|output: 132,999,999
2026-02-05 19:07:57.829 - INFO - 已处理|Processed: 134,000,000 kmers, 输出|output: 133,999,999
2026-02-05 19:08:13.733 - INFO - 已处理|Processed: 135,000,000 kmers, 输出|output: 134,999,999
2026-02-05 19:08:29.693 - INFO - 已处理|Processed: 136,000,000 kmers, 输出|output: 135,999,999
2026-02-05 19:08:45.590 - INFO - 已处理|Processed: 137,000,000 kmers, 输出|output: 136,999,999
2026-02-05 19:09:01.563 - INFO - 已处理|Processed: 138,000,000 kmers, 输出|output: 137,999,999
2026-02-05 19:09:17.488 - INFO - 已处理|Processed: 139,000,000 kmers, 输出|output: 138,999,999
2026-02-05 19:09:33.464 - INFO - 已处理|Processed: 140,000,000 kmers, 输出|output: 139,999,999
2026-02-05 19:09:49.381 - INFO - 已处理|Processed: 141,000,000 kmers, 输出|output: 140,999,999
2026-02-05 19:10:05.367 - INFO - 已处理|Processed: 142,000,000 kmers, 输出|output: 141,999,999
2026-02-05 19:10:21.255 - INFO - 已处理|Processed: 143,000,000 kmers, 输出|output: 142,999,999
2026-02-05 19:10:37.124 - INFO - 已处理|Processed: 144,000,000 kmers, 输出|output: 143,999,999
2026-02-05 19:10:52.945 - INFO - 已处理|Processed: 145,000,000 kmers, 输出|output: 144,999,999
2026-02-05 19:11:08.829 - INFO - 已处理|Processed: 146,000,000 kmers, 输出|output: 145,999,999
2026-02-05 19:11:24.663 - INFO - 已处理|Processed: 147,000,000 kmers, 输出|output: 146,999,999
2026-02-05 19:11:40.549 - INFO - 已处理|Processed: 148,000,000 kmers, 输出|output: 147,999,999
2026-02-05 19:11:56.363 - INFO - 已处理|Processed: 149,000,000 kmers, 输出|output: 148,999,999
2026-02-05 19:12:12.234 - INFO - 已处理|Processed: 150,000,000 kmers, 输出|output: 149,999,999
2026-02-05 19:12:28.056 - INFO - 已处理|Processed: 151,000,000 kmers, 输出|output: 150,999,999
2026-02-05 19:12:43.937 - INFO - 已处理|Processed: 152,000,000 kmers, 输出|output: 151,999,999
2026-02-05 19:12:59.747 - INFO - 已处理|Processed: 153,000,000 kmers, 输出|output: 152,999,999
2026-02-05 19:13:15.623 - INFO - 已处理|Processed: 154,000,000 kmers, 输出|output: 153,999,999
2026-02-05 19:13:31.482 - INFO - 已处理|Processed: 155,000,000 kmers, 输出|output: 154,999,999
2026-02-05 19:13:47.379 - INFO - 已处理|Processed: 156,000,000 kmers, 输出|output: 155,999,999
2026-02-05 19:14:03.210 - INFO - 已处理|Processed: 157,000,000 kmers, 输出|output: 156,999,999
2026-02-05 19:14:19.088 - INFO - 已处理|Processed: 158,000,000 kmers, 输出|output: 157,999,999
2026-02-05 19:14:34.912 - INFO - 已处理|Processed: 159,000,000 kmers, 输出|output: 158,999,999
2026-02-05 19:14:50.787 - INFO - 已处理|Processed: 160,000,000 kmers, 输出|output: 159,999,999
2026-02-05 19:15:06.610 - INFO - 已处理|Processed: 161,000,000 kmers, 输出|output: 160,999,999
2026-02-05 19:15:22.519 - INFO - 已处理|Processed: 162,000,000 kmers, 输出|output: 161,999,999
2026-02-05 19:15:38.351 - INFO - 已处理|Processed: 163,000,000 kmers, 输出|output: 162,999,999
2026-02-05 19:15:54.267 - INFO - 已处理|Processed: 164,000,000 kmers, 输出|output: 163,999,999
2026-02-05 19:16:10.104 - INFO - 已处理|Processed: 165,000,000 kmers, 输出|output: 164,999,999
2026-02-05 19:16:25.997 - INFO - 已处理|Processed: 166,000,000 kmers, 输出|output: 165,999,999
2026-02-05 19:16:41.820 - INFO - 已处理|Processed: 167,000,000 kmers, 输出|output: 166,999,999
2026-02-05 19:16:57.708 - INFO - 已处理|Processed: 168,000,000 kmers, 输出|output: 167,999,999
2026-02-05 19:17:13.529 - INFO - 已处理|Processed: 169,000,000 kmers, 输出|output: 168,999,999
2026-02-05 19:17:29.421 - INFO - 已处理|Processed: 170,000,000 kmers, 输出|output: 169,999,999
2026-02-05 19:17:45.260 - INFO - 已处理|Processed: 171,000,000 kmers, 输出|output: 170,999,999
2026-02-05 19:18:01.151 - INFO - 已处理|Processed: 172,000,000 kmers, 输出|output: 171,999,999
2026-02-05 19:18:16.980 - INFO - 已处理|Processed: 173,000,000 kmers, 输出|output: 172,999,999
2026-02-05 19:18:32.864 - INFO - 已处理|Processed: 174,000,000 kmers, 输出|output: 173,999,999
2026-02-05 19:18:48.701 - INFO - 已处理|Processed: 175,000,000 kmers, 输出|output: 174,999,999
2026-02-05 19:19:04.594 - INFO - 已处理|Processed: 176,000,000 kmers, 输出|output: 175,999,999
2026-02-05 19:19:20.430 - INFO - 已处理|Processed: 177,000,000 kmers, 输出|output: 176,999,999
2026-02-05 19:19:36.286 - INFO - 已处理|Processed: 178,000,000 kmers, 输出|output: 177,999,999
2026-02-05 19:19:52.093 - INFO - 已处理|Processed: 179,000,000 kmers, 输出|output: 178,999,999
2026-02-05 19:20:07.962 - INFO - 已处理|Processed: 180,000,000 kmers, 输出|output: 179,999,999
2026-02-05 19:20:23.769 - INFO - 已处理|Processed: 181,000,000 kmers, 输出|output: 180,999,999
2026-02-05 19:20:39.630 - INFO - 已处理|Processed: 182,000,000 kmers, 输出|output: 181,999,999
2026-02-05 19:20:55.440 - INFO - 已处理|Processed: 183,000,000 kmers, 输出|output: 182,999,999
2026-02-05 19:21:11.317 - INFO - 已处理|Processed: 184,000,000 kmers, 输出|output: 183,999,999
2026-02-05 19:21:27.130 - INFO - 已处理|Processed: 185,000,000 kmers, 输出|output: 184,999,999
2026-02-05 19:21:42.990 - INFO - 已处理|Processed: 186,000,000 kmers, 输出|output: 185,999,999
2026-02-05 19:21:58.803 - INFO - 已处理|Processed: 187,000,000 kmers, 输出|output: 186,999,999
2026-02-05 19:22:14.671 - INFO - 已处理|Processed: 188,000,000 kmers, 输出|output: 187,999,999
2026-02-05 19:22:30.479 - INFO - 已处理|Processed: 189,000,000 kmers, 输出|output: 188,999,999
2026-02-05 19:22:46.347 - INFO - 已处理|Processed: 190,000,000 kmers, 输出|output: 189,999,999
2026-02-05 19:23:02.158 - INFO - 已处理|Processed: 191,000,000 kmers, 输出|output: 190,999,999
2026-02-05 19:23:18.037 - INFO - 已处理|Processed: 192,000,000 kmers, 输出|output: 191,999,999
2026-02-05 19:23:33.859 - INFO - 已处理|Processed: 193,000,000 kmers, 输出|output: 192,999,999
2026-02-05 19:23:49.722 - INFO - 已处理|Processed: 194,000,000 kmers, 输出|output: 193,999,999
2026-02-05 19:24:05.538 - INFO - 已处理|Processed: 195,000,000 kmers, 输出|output: 194,999,999
2026-02-05 19:24:21.409 - INFO - 已处理|Processed: 196,000,000 kmers, 输出|output: 195,999,999
2026-02-05 19:24:37.212 - INFO - 已处理|Processed: 197,000,000 kmers, 输出|output: 196,999,999
2026-02-05 19:24:53.096 - INFO - 已处理|Processed: 198,000,000 kmers, 输出|output: 197,999,999
2026-02-05 19:25:09.066 - INFO - 已处理|Processed: 199,000,000 kmers, 输出|output: 198,999,999
2026-02-05 19:25:24.956 - INFO - 已处理|Processed: 200,000,000 kmers, 输出|output: 199,999,999
2026-02-05 19:25:40.794 - INFO - 已处理|Processed: 201,000,000 kmers, 输出|output: 200,999,999
2026-02-05 19:25:56.675 - INFO - 已处理|Processed: 202,000,000 kmers, 输出|output: 201,999,999
2026-02-05 19:26:12.510 - INFO - 已处理|Processed: 203,000,000 kmers, 输出|output: 202,999,999
2026-02-05 19:26:28.396 - INFO - 已处理|Processed: 204,000,000 kmers, 输出|output: 203,999,999
2026-02-05 19:26:44.235 - INFO - 已处理|Processed: 205,000,000 kmers, 输出|output: 204,999,999
2026-02-05 19:27:00.126 - INFO - 已处理|Processed: 206,000,000 kmers, 输出|output: 205,999,999
2026-02-05 19:27:15.959 - INFO - 已处理|Processed: 207,000,000 kmers, 输出|output: 206,999,999
2026-02-05 19:27:31.851 - INFO - 已处理|Processed: 208,000,000 kmers, 输出|output: 207,999,999
2026-02-05 19:27:47.664 - INFO - 已处理|Processed: 209,000,000 kmers, 输出|output: 208,999,999
2026-02-05 19:28:03.539 - INFO - 已处理|Processed: 210,000,000 kmers, 输出|output: 209,999,999
2026-02-05 19:28:19.358 - INFO - 已处理|Processed: 211,000,000 kmers, 输出|output: 210,999,999
2026-02-05 19:28:35.255 - INFO - 已处理|Processed: 212,000,000 kmers, 输出|output: 211,999,999
2026-02-05 19:28:51.074 - INFO - 已处理|Processed: 213,000,000 kmers, 输出|output: 212,999,999
2026-02-05 19:29:06.946 - INFO - 已处理|Processed: 214,000,000 kmers, 输出|output: 213,999,999
2026-02-05 19:29:22.761 - INFO - 已处理|Processed: 215,000,000 kmers, 输出|output: 214,999,999
2026-02-05 19:29:38.645 - INFO - 已处理|Processed: 216,000,000 kmers, 输出|output: 215,999,999
2026-02-05 19:29:54.471 - INFO - 已处理|Processed: 217,000,000 kmers, 输出|output: 216,999,999
2026-02-05 19:30:10.358 - INFO - 已处理|Processed: 218,000,000 kmers, 输出|output: 217,999,999
2026-02-05 19:30:26.173 - INFO - 已处理|Processed: 219,000,000 kmers, 输出|output: 218,999,999
2026-02-05 19:30:42.056 - INFO - 已处理|Processed: 220,000,000 kmers, 输出|output: 219,999,999
2026-02-05 19:30:57.874 - INFO - 已处理|Processed: 221,000,000 kmers, 输出|output: 220,999,999
